cohort,case,model_mae,baseline_mae,relative_gain
train,0X1D3210B98E59078A.hdf5,0.002377541981267395,0.0020505068559747187,-0.15948989604193176
train,0X228D178D820A29A2.hdf5,0.0033451550123866896,0.0028634659825621145,-0.16821887627021126
train,0X2BCB6F4D73191177.hdf5,0.004067456832503967,0.005435063681260401,0.25162664670734514
train,0X2F38FFD4351DB77B.hdf5,0.0036331391739718452,0.003354695855704395,-0.08300106186794243
train,0X3BE346AF6B1F7F3D.hdf5,0.005622901209554903,0.005277968540728454,-0.06535330140085338
train,0X3F0A268A296882B5.hdf5,0.004178982961359139,0.0033077068532694318,-0.263407897597852
train,0X41ABCD5C085A1AD1.hdf5,0.014155752681076165,0.014391587245986225,0.01638697392296562
train,0X4443C1C10CC3B13A.hdf5,0.022850996537972842,0.026015248592684396,0.12163066762319374
train,0X4937270C8599D8E3.hdf5,0.004859984706381892,0.004798856291491075,-0.012738121581011841
train,0X4A1A9413B0697A3D.hdf5,0.006056157106213789,0.006240908468383273,0.029603280212398997
train,0X4AD47C3103D9FD6D.hdf5,0.0033674822423136286,0.003895124843099502,0.13546230789511937
train,0X4F0A56451DADD1E8.hdf5,0.0040018257626671,0.00327179567368809,-0.2231282640447081
train,0X5284C8C05B0255E9.hdf5,0.003015549048706685,0.002749590666835227,-0.09672653645481555
train,0X5746FD1045390A93.hdf5,0.012848245043382313,0.013214810938519114,0.027739019259694353
train,0X5C0BCAA2FB4FF1B4.hdf5,0.009936927987163472,0.009943004349356506,0.0006111193337078324
train,0X5ED542F7582888B9.hdf5,0.014399800867571453,0.016622036494134355,0.13369213978967576
train,0X5FC9BFA75DBC770F.hdf5,0.0180881873530958,0.01939565830916622,0.06741049647448771
train,0X5FE3EB348D80C6BE.hdf5,0.004839781337569548,0.005648358474358416,0.1431525885723307
train,0X656969EB60FFF3D0.hdf5,0.0043947273883575295,0.004564913626789858,0.03728137098445106
train,0X6C6C283053A8DC92.hdf5,0.009380219815885545,0.010037192392472959,0.06545381924531879
train,0X6CFA2353220A32C3.hdf5,0.013873617039772954,0.015236990251360875,0.08947785547517517
train,0X6F89061323A89C46.hdf5,0.007070609568398009,0.007130271834818868,0.008367460288051576
train,0X6FAA89F3C9D58522.hdf5,0.004091806608015743,0.0036833292584107042,-0.11089895063611266
train,0X706C949699E80227.hdf5,0.009967887893518712,0.010684636726332443,0.06708219017379347
train,0X74730225B5BBF275.hdf5,0.009048160728287355,0.009786052202073731,0.07540236435996239
train,0X7663D4D92BDD0DF0.hdf5,0.005127599055458261,0.004717438761566078,-0.0869455470697027
train,0X7710551E470BE80A.hdf5,0.004556093503929809,0.004150690879871706,-0.09767111928861194
train,0X7923B6B4614AF456.hdf5,0.0033556031773113028,0.002740316224049424,-0.2245313689938513
train,0X79B116E3D0B6B1E2.hdf5,0.008585886616244038,0.009403085232329076,0.08690749853839452
train,0XE9217FEF2BCB4B1.hdf5,0.0076903110235577166,0.008997849377387642,0.14531676392759818
train,0XEF9B5520CAA14AA.hdf5,0.0028389097340712306,0.0029335213570494474,0.03225189506490511
train,0XF760A47D31AE457.hdf5,0.004049208544310166,0.0034196710321495825,-0.18409300375447524
development,0X112668E4C7655E1A.hdf5,0.014067209118810414,0.014398125698761146,0.022983309555298925
development,0X1205884E675E58B9.hdf5,0.015674892967981458,0.013569722441841672,-0.15513733130226615
development,0X12F3CF2F58EC699B.hdf5,0.00294639132146232,0.0029589318500020364,0.004238194448347277
development,0X13F7CAB4C719ACA3.hdf5,0.011780651051019126,0.01249217246139526,0.05695737971717563
confirmation,0X10B7505562B0A702.hdf5,0.0032395869613234163,0.003927662475880814,0.1751870275979075
confirmation,0X11A07A83B21CFE1E.hdf5,0.00916930100818669,0.010565395440939053,0.13213839846852693
confirmation,0X133BD3C195F9EA2.hdf5,0.01752206644623407,0.02146806365671392,0.18380778413826704
confirmation,0X13491A03D3184C5A.hdf5,0.012137487857707456,0.01389307703742802,0.12636431619798816
confirmation,0X13A5B3EF1C1004FC.hdf5,0.016923714430587943,0.01669590673559568,-0.013644523690742538
confirmation,0X13F0F314138CE831.hdf5,0.002320478060406381,0.0018278222300907455,-0.26953158912569775
confirmation,0X145985C5A34EFCC.hdf5,0.012004763447390454,0.012650451863841103,0.05104073936649056
confirmation,0X2067611AEB6EAC1C.hdf5,0.026661307924905713,0.02672496032191975,0.0023817583355523197
